Year,Destination,Origin,Number,LatDest,LongDest,LatOrigin,LongOrigin
2020,Afghanistan,Sudan,0,33.93911,67.709953,#N/A,#N/A
2020,Afghanistan,Suriname,0,33.93911,67.709953,3.919305,-56.027783
2020,Afghanistan,Sweden,0,33.93911,67.709953,60.128161,18.643501
2020,Afghanistan,Switzerland,0,33.93911,67.709953,46.818188,8.227512
2020,Afghanistan,Syria,0,33.93911,67.709953,34.802075,38.996815
2020,Afghanistan,Taiwan,0,33.93911,67.709953,23.69781,120.960515
2020,Afghanistan,Tajikistan,4422,33.93911,67.709953,38.861034,71.276093
2020,Afghanistan,Tanzania,0,33.93911,67.709953,-6.369028,34.888822
2020,Afghanistan,Thailand,0,33.93911,67.709953,15.870032,100.992541
2020,Afghanistan,Timor-Leste,0,33.93911,67.709953,-8.874217,125.727539
2020,Afghanistan,Togo,0,33.93911,67.709953,8.619543,0.824782
2020,Afghanistan,Tokelau,0,33.93911,67.709953,-8.967363,-171.855881
2020,Afghanistan,Tonga,0,33.93911,67.709953,-21.178986,-175.198242
2020,Afghanistan,Trinidad and Tobago,0,33.93911,67.709953,10.691803,-61.222503
2020,Afghanistan,Tunisia,0,33.93911,67.709953,33.886917,9.537499
2020,Afghanistan,Turkey,0,33.93911,67.709953,38.963745,35.243322
2020,Afghanistan,Turkmenistan,0,33.93911,67.709953,38.969719,59.556278
2020,Afghanistan,Turks and Caicos Islands,0,33.93911,67.709953,21.694025,-71.797928
2020,Afghanistan,Tuvalu,0,33.93911,67.709953,-7.109535,177.64933
2020,Afghanistan,Uganda,0,33.93911,67.709953,1.373333,32.290275
2020,Afghanistan,Ukraine,0,33.93911,67.709953,48.379433,31.16558
2020,Afghanistan,United Arab Emirates,0,33.93911,67.709953,23.424076,53.847818
2020,Afghanistan,United Kingdom,0,33.93911,67.709953,55.378051,-3.435973
2020,Afghanistan,United States,0,33.93911,67.709953,37.09024,-95.712891
2020,Afghanistan,United States Virgin Islands,0,33.93911,67.709953,#N/A,#N/A
2020,Afghanistan,Uruguay,0,33.93911,67.709953,-32.522779,-55.765835
2020,Afghanistan,Uzbekistan,219,33.93911,67.709953,41.377491,64.585262
2020,Afghanistan,Vanuatu,0,33.93911,67.709953,-15.376706,166.959158
2020,Afghanistan,Vatican,0,33.93911,67.709953,#N/A,#N/A
2020,Afghanistan,Venezuela,0,33.93911,67.709953,6.42375,-66.58973
2020,Afghanistan,Vietnam,0,33.93911,67.709953,14.058324,108.277199
2020,Afghanistan,Wallis and Futuna,0,33.93911,67.709953,-13.768752,-177.156097
2020,Afghanistan,Western Sahara,0,33.93911,67.709953,24.215527,-12.885834
2020,Afghanistan,Yemen,0,33.93911,67.709953,15.552727,48.516388
2020,Afghanistan,Zambia,0,33.93911,67.709953,-13.133897,27.849332
2020,Afghanistan,Zimbabwe,0,33.93911,67.709953,-19.015438,29.154857
2020,Albania,Afghanistan,0,41.153332,20.168331,33.93911,67.709953
2020,Albania,Albania,1250451,41.153332,20.168331,41.153332,20.168331
2020,Albania,Algeria,0,41.153332,20.168331,28.033886,1.659626
2020,Albania,American Samoa,0,41.153332,20.168331,-14.270972,-170.132217
2020,Albania,Andorra,0,41.153332,20.168331,42.546245,1.601554
2020,Albania,Angola,0,41.153332,20.168331,-11.202692,17.873887
2020,Albania,Anguilla,0,41.153332,20.168331,18.220554,-63.068615
2020,Albania,Antigua and Barbuda,0,41.153332,20.168331,17.060816,-61.796428
2020,Albania,Argentina,0,41.153332,20.168331,-38.416097,-63.616672
2020,Albania,Armenia,0,41.153332,20.168331,40.069099,45.038189
2020,Albania,Aruba,0,41.153332,20.168331,12.52111,-69.968338
2020,Albania,Australia,0,41.153332,20.168331,-25.274398,133.775136
2020,Albania,Austria,0,41.153332,20.168331,47.516231,14.550072
2020,Albania,Azerbaijan,0,41.153332,20.168331,40.143105,47.576927
2020,Albania,Bahamas,0,41.153332,20.168331,25.03428,-77.39628
2020,Albania,Bahrain,0,41.153332,20.168331,25.930414,50.637772
2020,Albania,Bangladesh,0,41.153332,20.168331,23.684994,90.356331
2020,Albania,Barbados,0,41.153332,20.168331,13.193887,-59.543198
2020,Albania,Belarus,0,41.153332,20.168331,53.709807,27.953389
2020,Albania,Belgium,0,41.153332,20.168331,50.503887,4.469936
2020,Albania,Belize,0,41.153332,20.168331,17.189877,-88.49765
2020,Albania,Benin,0,41.153332,20.168331,9.30769,2.315834
2020,Albania,Bermuda,0,41.153332,20.168331,32.321384,-64.75737
2020,Albania,Bhutan,0,41.153332,20.168331,27.514162,90.433601
2020,Albania,Bolivia,0,41.153332,20.168331,-16.290154,-63.588653
2020,Albania,Bonaire Sint Eustatius and Saba,0,41.153332,20.168331,#N/A,#N/A
2020,Albania,Bosnia and Herzegovina,0,41.153332,20.168331,43.915886,17.679076
2020,Albania,Botswana,0,41.153332,20.168331,-22.328474,24.684866
2020,Albania,Brazil,0,41.153332,20.168331,-14.235004,-51.92528
2020,Albania,British Virgin Islands,0,41.153332,20.168331,18.420695,-64.639968
2020,Albania,Brunei,0,41.153332,20.168331,4.535277,114.727669
2020,Albania,Bulgaria,0,41.153332,20.168331,42.733883,25.48583
2020,Albania,Burkina Faso,0,41.153332,20.168331,12.238333,-1.561593
2020,Albania,Burundi,0,41.153332,20.168331,-3.373056,29.918886
2020,Albania,Cambodia,0,41.153332,20.168331,12.565679,104.990963
2020,Albania,Cameroon,0,41.153332,20.168331,7.369722,12.354722
2020,Albania,Canada,849,41.153332,20.168331,56.130366,-106.346771
2020,Albania,Cape Verde,0,41.153332,20.168331,16.002082,-24.013197
2020,Albania,Caribbean,0,41.153332,20.168331,#N/A,#N/A
2020,Albania,Cayman Islands,0,41.153332,20.168331,19.513469,-80.566956
2020,Albania,Central African Republic,0,41.153332,20.168331,6.611111,20.939444
2020,Albania,Chad,0,41.153332,20.168331,15.454166,18.732207
2020,Albania,Channel Islands,0,41.153332,20.168331,#N/A,#N/A
2020,Albania,Chile,0,41.153332,20.168331,-35.675147,-71.542969
2020,Albania,China,0,41.153332,20.168331,35.86166,104.195397
2020,Albania,Colombia,0,41.153332,20.168331,4.570868,-74.297333
2020,Albania,Comoros,0,41.153332,20.168331,-11.875001,43.872219
2020,Albania,Congo,0,41.153332,20.168331,-4.038333,21.758664
2020,Albania,Cook Islands,0,41.153332,20.168331,-21.236736,-159.777671
2020,Albania,Costa Rica,0,41.153332,20.168331,9.748917,-83.753428
2020,Albania,Cote d'Ivoire,0,41.153332,20.168331,7.539989,-5.54708
2020,Albania,Croatia,0,41.153332,20.168331,45.1,15.2
2020,Albania,Cuba,0,41.153332,20.168331,21.521757,-77.781167
2020,Albania,Curacao,0,41.153332,20.168331,#N/A,#N/A
2020,Albania,Cyprus,0,41.153332,20.168331,35.126413,33.429859
2020,Albania,Czechia,0,41.153332,20.168331,49.817492,15.472962
2020,Albania,Democratic Republic of Congo,0,41.153332,20.168331,-0.228021,15.827659
2020,Albania,Denmark,0,41.153332,20.168331,56.26392,9.501785
2020,Albania,Djibouti,0,41.153332,20.168331,11.825138,42.590275
2020,Albania,Dominica,0,41.153332,20.168331,15.414999,-61.370976
2020,Albania,Dominican Republic,0,41.153332,20.168331,18.735693,-70.162651
2020,Albania,Ecuador,0,41.153332,20.168331,-1.831239,-78.183406
2020,Albania,Egypt,0,41.153332,20.168331,26.820553,30.802498
2020,Albania,El Salvador,0,41.153332,20.168331,13.794185,-88.89653
2020,Albania,Equatorial Guinea,0,41.153332,20.168331,1.650801,10.267895
2020,Albania,Eritrea,0,41.153332,20.168331,15.179384,39.782334
2020,Albania,Estonia,0,41.153332,20.168331,58.595272,25.013607
2020,Albania,Eswatini,0,41.153332,20.168331,#N/A,#N/A
2020,Albania,Ethiopia,0,41.153332,20.168331,9.145,40.489673
2020,Albania,Faeroe Islands,0,41.153332,20.168331,61.892635,-6.911806
2020,Albania,Falkland Islands,0,41.153332,20.168331,-51.796253,-59.523613
2020,Albania,Fiji,0,41.153332,20.168331,-16.578193,179.414413
2020,Albania,Finland,0,41.153332,20.168331,61.92411,25.748151
2020,Albania,France,0,41.153332,20.168331,46.227638,2.213749
2020,Albania,French Guiana,0,41.153332,20.168331,3.933889,-53.125782
2020,Albania,French Polynesia,0,41.153332,20.168331,-17.679742,-149.406843
2020,Albania,Gabon,0,41.153332,20.168331,-0.803689,11.609444
2020,Albania,Gambia,0,41.153332,20.168331,13.443182,-15.310139
2020,Albania,Georgia,0,41.153332,20.168331,42.315407,43.356892
2020,Albania,Germany,0,41.153332,20.168331,51.165691,10.451526
2020,Albania,Ghana,0,41.153332,20.168331,7.946527,-1.023194
2020,Albania,Gibraltar,0,41.153332,20.168331,36.137741,-5.345374
2020,Albania,Greece,29643,41.153332,20.168331,39.074208,21.824312
2020,Albania,Greenland,0,41.153332,20.168331,71.706936,-42.604303
2020,Albania,Grenada,0,41.153332,20.168331,12.262776,-61.604171
2020,Albania,Guadeloupe,0,41.153332,20.168331,16.995971,-62.067641
2020,Albania,Guam,0,41.153332,20.168331,13.444304,144.793731
2020,Albania,Guatemala,0,41.153332,20.168331,15.783471,-90.230759
2020,Albania,Guinea,0,41.153332,20.168331,9.945587,-9.696645
2020,Albania,Guinea-Bissau,0,41.153332,20.168331,11.803749,-15.180413
2020,Albania,Guyana,0,41.153332,20.168331,4.860416,-58.93018
2020,Albania,Haiti,0,41.153332,20.168331,18.971187,-72.285215
2020,Albania,Honduras,0,41.153332,20.168331,15.199999,-86.241905
2020,Albania,Hong Kong,0,41.153332,20.168331,22.396428,114.109497
2020,Albania,Hungary,0,41.153332,20.168331,47.162494,19.503304
2020,Albania,Iceland,0,41.153332,20.168331,64.963051,-19.020835
2020,Albania,India,0,41.153332,20.168331,20.593684,78.96288
2020,Albania,Indonesia,0,41.153332,20.168331,-0.789275,113.921327
2020,Albania,Iran,0,41.153332,20.168331,32.427908,53.688046
2020,Albania,Iraq,0,41.153332,20.168331,33.223191,43.679291
2020,Albania,Ireland,0,41.153332,20.168331,53.41291,-8.24389
2020,Albania,Isle of Man,0,41.153332,20.168331,54.236107,-4.548056
2020,Albania,Israel,0,41.153332,20.168331,31.046051,34.851612
2020,Albania,Italy,8344,41.153332,20.168331,41.87194,12.56738
2020,Albania,Jamaica,0,41.153332,20.168331,18.109581,-77.297508
2020,Albania,Japan,0,41.153332,20.168331,36.204824,138.252924
2020,Albania,Jordan,0,41.153332,20.168331,30.585164,36.238414
2020,Albania,Kazakhstan,0,41.153332,20.168331,48.019573,66.923684
2020,Albania,Kenya,0,41.153332,20.168331,-0.023559,37.906193
2020,Albania,Kiribati,0,41.153332,20.168331,-3.370417,-168.734039
2020,Albania,Kuwait,0,41.153332,20.168331,29.31166,47.481766
2020,Albania,Kyrgyzstan,0,41.153332,20.168331,41.20438,74.766098
2020,Albania,Laos,0,41.153332,20.168331,19.85627,102.495496
2020,Albania,Latvia,0,41.153332,20.168331,56.879635,24.603189
2020,Albania,Lebanon,0,41.153332,20.168331,33.854721,35.862285
2020,Albania,Lesotho,0,41.153332,20.168331,-29.609988,28.233608
2020,Albania,Liberia,0,41.153332,20.168331,6.428055,-9.429499
2020,Albania,Libya,0,41.153332,20.168331,26.3351,17.228331
2020,Albania,Liechtenstein,0,41.153332,20.168331,47.166,9.555373
2020,Albania,Lithuania,0,41.153332,20.168331,55.169438,23.881275
2020,Albania,Luxembourg,0,41.153332,20.168331,49.815273,6.129583
2020,Albania,Macao,0,41.153332,20.168331,#N/A,#N/A
2020,Albania,Madagascar,0,41.153332,20.168331,-18.766947,46.869107
2020,Albania,Malawi,0,41.153332,20.168331,-13.254308,34.301525
2020,Albania,Malaysia,0,41.153332,20.168331,4.210484,101.975766
2020,Albania,Maldives,0,41.153332,20.168331,3.202778,73.22068
2020,Albania,Mali,0,41.153332,20.168331,17.570692,-3.996166
2020,Albania,Malta,0,41.153332,20.168331,35.937496,14.375416
2020,Albania,Marshall Islands,0,41.153332,20.168331,7.131474,171.184478
2020,Albania,Martinique,0,41.153332,20.168331,14.641528,-61.024174
2020,Albania,Mauritania,0,41.153332,20.168331,21.00789,-10.940835
