Year,Origin,Destination,Number,LongOrigin,LatOrigin,LongDest,LatDest
2020,Afghanistan,South Korea,0,67.709953,33.93911,127.766922,35.907757
2020,Afghanistan,South Sudan,0,67.709953,33.93911,30.217636,12.862807
2020,Afghanistan,Spain,615,67.709953,33.93911,-3.74922,40.463667
2020,Afghanistan,Sri Lanka,132,67.709953,33.93911,80.771797,7.873054
2020,Afghanistan,Sudan,0,67.709953,33.93911,#N/A,#N/A
2020,Afghanistan,Suriname,0,67.709953,33.93911,-56.027783,3.919305
2020,Afghanistan,Sweden,53306,67.709953,33.93911,18.643501,60.128161
2020,Afghanistan,Switzerland,15036,67.709953,33.93911,8.227512,46.818188
2020,Afghanistan,Syria,1143,67.709953,33.93911,38.996815,34.802075
2020,Afghanistan,Taiwan,0,67.709953,33.93911,120.960515,23.69781
2020,Afghanistan,Tajikistan,12433,67.709953,33.93911,71.276093,38.861034
2020,Afghanistan,Tanzania,0,67.709953,33.93911,34.888822,-6.369028
2020,Afghanistan,Thailand,1,67.709953,33.93911,100.992541,15.870032
2020,Afghanistan,Timor-Leste,0,67.709953,33.93911,125.727539,-8.874217
2020,Afghanistan,Togo,0,67.709953,33.93911,0.824782,8.619543
2020,Afghanistan,Tokelau,0,67.709953,33.93911,-171.855881,-8.967363
2020,Afghanistan,Tonga,0,67.709953,33.93911,-175.198242,-21.178986
2020,Afghanistan,Trinidad and Tobago,0,67.709953,33.93911,-61.222503,10.691803
2020,Afghanistan,Tunisia,0,67.709953,33.93911,9.537499,33.886917
2020,Afghanistan,Turkey,117595,67.709953,33.93911,35.243322,38.963745
2020,Afghanistan,Turkmenistan,198,67.709953,33.93911,59.556278,38.969719
2020,Afghanistan,Turks and Caicos Islands,0,67.709953,33.93911,-71.797928,21.694025
2020,Afghanistan,Tuvalu,0,67.709953,33.93911,177.64933,-7.109535
2020,Afghanistan,Uganda,0,67.709953,33.93911,32.290275,1.373333
2020,Afghanistan,Ukraine,4891,67.709953,33.93911,31.16558,48.379433
2020,Afghanistan,United Arab Emirates,8191,67.709953,33.93911,53.847818,23.424076
2020,Afghanistan,United Kingdom,51376,67.709953,33.93911,-3.435973,55.378051
2020,Afghanistan,United States,142504,67.709953,33.93911,-95.712891,37.09024
2020,Afghanistan,United States Virgin Islands,0,67.709953,33.93911,#N/A,#N/A
2020,Afghanistan,Uruguay,0,67.709953,33.93911,-55.765835,-32.522779
2020,Afghanistan,Uzbekistan,0,67.709953,33.93911,64.585262,41.377491
2020,Afghanistan,Vanuatu,0,67.709953,33.93911,166.959158,-15.376706
2020,Afghanistan,Vatican,0,67.709953,33.93911,#N/A,#N/A
2020,Afghanistan,Venezuela,0,67.709953,33.93911,-66.58973,6.42375
2020,Afghanistan,Vietnam,0,67.709953,33.93911,108.277199,14.058324
2020,Afghanistan,Wallis and Futuna,0,67.709953,33.93911,-177.156097,-13.768752
2020,Afghanistan,Western Sahara,0,67.709953,33.93911,-12.885834,24.215527
2020,Afghanistan,Yemen,0,67.709953,33.93911,48.516388,15.552727
2020,Afghanistan,Zambia,0,67.709953,33.93911,27.849332,-13.133897
2020,Afghanistan,Zimbabwe,0,67.709953,33.93911,29.154857,-19.015438
2020,Albania,Afghanistan,0,20.168331,41.153332,67.709953,33.93911
2020,Albania,Albania,48810,20.168331,41.153332,20.168331,41.153332
2020,Albania,Algeria,0,20.168331,41.153332,1.659626,28.033886
2020,Albania,American Samoa,0,20.168331,41.153332,-170.132217,-14.270972
2020,Albania,Andorra,0,20.168331,41.153332,1.601554,42.546245
2020,Albania,Angola,0,20.168331,41.153332,17.873887,-11.202692
2020,Albania,Anguilla,0,20.168331,41.153332,-63.068615,18.220554
2020,Albania,Antigua and Barbuda,0,20.168331,41.153332,-61.796428,17.060816
2020,Albania,Argentina,66,20.168331,41.153332,-63.616672,-38.416097
2020,Albania,Armenia,0,20.168331,41.153332,45.038189,40.069099
2020,Albania,Aruba,0,20.168331,41.153332,-69.968338,12.52111
2020,Albania,Australia,3941,20.168331,41.153332,133.775136,-25.274398
2020,Albania,Austria,4398,20.168331,41.153332,14.550072,47.516231
2020,Albania,Azerbaijan,0,20.168331,41.153332,47.576927,40.143105
2020,Albania,Bahamas,0,20.168331,41.153332,-77.39628,25.03428
2020,Albania,Bahrain,0,20.168331,41.153332,50.637772,25.930414
2020,Albania,Bangladesh,0,20.168331,41.153332,90.356331,23.684994
2020,Albania,Barbados,0,20.168331,41.153332,-59.543198,13.193887
2020,Albania,Belarus,0,20.168331,41.153332,27.953389,53.709807
2020,Albania,Belgium,11937,20.168331,41.153332,4.469936,50.503887
2020,Albania,Belize,0,20.168331,41.153332,-88.49765,17.189877
2020,Albania,Benin,0,20.168331,41.153332,2.315834,9.30769
2020,Albania,Bermuda,0,20.168331,41.153332,-64.75737,32.321384
2020,Albania,Bhutan,0,20.168331,41.153332,90.433601,27.514162
2020,Albania,Bolivia,1,20.168331,41.153332,-63.588653,-16.290154
2020,Albania,Bonaire Sint Eustatius and Saba,0,20.168331,41.153332,#N/A,#N/A
2020,Albania,Bosnia and Herzegovina,0,20.168331,41.153332,17.679076,43.915886
2020,Albania,Botswana,0,20.168331,41.153332,24.684866,-22.328474
2020,Albania,Brazil,0,20.168331,41.153332,-51.92528,-14.235004
2020,Albania,British Virgin Islands,0,20.168331,41.153332,-64.639968,18.420695
2020,Albania,Brunei,0,20.168331,41.153332,114.727669,4.535277
2020,Albania,Bulgaria,1351,20.168331,41.153332,25.48583,42.733883
2020,Albania,Burkina Faso,0,20.168331,41.153332,-1.561593,12.238333
2020,Albania,Burundi,0,20.168331,41.153332,29.918886,-3.373056
2020,Albania,Cambodia,0,20.168331,41.153332,104.990963,12.565679
2020,Albania,Cameroon,0,20.168331,41.153332,12.354722,7.369722
2020,Albania,Canada,16544,20.168331,41.153332,-106.346771,56.130366
2020,Albania,Cape Verde,0,20.168331,41.153332,-24.013197,16.002082
2020,Albania,Caribbean,0,20.168331,41.153332,#N/A,#N/A
2020,Albania,Cayman Islands,0,20.168331,41.153332,-80.566956,19.513469
2020,Albania,Central African Republic,0,20.168331,41.153332,20.939444,6.611111
2020,Albania,Chad,0,20.168331,41.153332,18.732207,15.454166
2020,Albania,Channel Islands,0,20.168331,41.153332,#N/A,#N/A
2020,Albania,Chile,0,20.168331,41.153332,-71.542969,-35.675147
2020,Albania,China,0,20.168331,41.153332,104.195397,35.86166
2020,Albania,Colombia,0,20.168331,41.153332,-74.297333,4.570868
2020,Albania,Comoros,0,20.168331,41.153332,43.872219,-11.875001
2020,Albania,Congo,0,20.168331,41.153332,21.758664,-4.038333
2020,Albania,Cook Islands,0,20.168331,41.153332,-159.777671,-21.236736
2020,Albania,Costa Rica,4,20.168331,41.153332,-83.753428,9.748917
2020,Albania,Cote d'Ivoire,0,20.168331,41.153332,-5.54708,7.539989
2020,Albania,Croatia,160,20.168331,41.153332,15.2,45.1
2020,Albania,Cuba,0,20.168331,41.153332,-77.781167,21.521757
2020,Albania,Curacao,0,20.168331,41.153332,#N/A,#N/A
2020,Albania,Cyprus,274,20.168331,41.153332,33.429859,35.126413
2020,Albania,Czechia,487,20.168331,41.153332,15.472962,49.817492
2020,Albania,Democratic Republic of Congo,0,20.168331,41.153332,15.827659,-0.228021
2020,Albania,Denmark,568,20.168331,41.153332,9.501785,56.26392
2020,Albania,Djibouti,0,20.168331,41.153332,42.590275,11.825138
2020,Albania,Dominica,0,20.168331,41.153332,-61.370976,15.414999
2020,Albania,Dominican Republic,0,20.168331,41.153332,-70.162651,18.735693
2020,Albania,Ecuador,73,20.168331,41.153332,-78.183406,-1.831239
2020,Albania,Egypt,119,20.168331,41.153332,30.802498,26.820553
2020,Albania,El Salvador,0,20.168331,41.153332,-88.89653,13.794185
2020,Albania,Equatorial Guinea,0,20.168331,41.153332,10.267895,1.650801
2020,Albania,Eritrea,0,20.168331,41.153332,39.782334,15.179384
2020,Albania,Estonia,41,20.168331,41.153332,25.013607,58.595272
2020,Albania,Eswatini,0,20.168331,41.153332,#N/A,#N/A
2020,Albania,Ethiopia,0,20.168331,41.153332,40.489673,9.145
2020,Albania,Faeroe Islands,0,20.168331,41.153332,-6.911806,61.892635
2020,Albania,Falkland Islands,0,20.168331,41.153332,-59.523613,-51.796253
2020,Albania,Fiji,0,20.168331,41.153332,179.414413,-16.578193
2020,Albania,Finland,706,20.168331,41.153332,25.748151,61.92411
2020,Albania,France,8925,20.168331,41.153332,2.213749,46.227638
2020,Albania,French Guiana,0,20.168331,41.153332,-53.125782,3.933889
2020,Albania,French Polynesia,0,20.168331,41.153332,-149.406843,-17.679742
2020,Albania,Gabon,0,20.168331,41.153332,11.609444,-0.803689
2020,Albania,Gambia,0,20.168331,41.153332,-15.310139,13.443182
2020,Albania,Georgia,9,20.168331,41.153332,43.356892,42.315407
2020,Albania,Germany,61063,20.168331,41.153332,10.451526,51.165691
2020,Albania,Ghana,0,20.168331,41.153332,-1.023194,7.946527
2020,Albania,Gibraltar,0,20.168331,41.153332,-5.345374,36.137741
2020,Albania,Greece,446614,20.168331,41.153332,21.824312,39.074208
2020,Albania,Greenland,0,20.168331,41.153332,-42.604303,71.706936
2020,Albania,Grenada,0,20.168331,41.153332,-61.604171,12.262776
2020,Albania,Guadeloupe,0,20.168331,41.153332,-62.067641,16.995971
2020,Albania,Guam,0,20.168331,41.153332,144.793731,13.444304
2020,Albania,Guatemala,0,20.168331,41.153332,-90.230759,15.783471
2020,Albania,Guinea,9,20.168331,41.153332,-9.696645,9.945587
2020,Albania,Guinea-Bissau,0,20.168331,41.153332,-15.180413,11.803749
2020,Albania,Guyana,0,20.168331,41.153332,-58.93018,4.860416
2020,Albania,Haiti,0,20.168331,41.153332,-72.285215,18.971187
2020,Albania,Honduras,0,20.168331,41.153332,-86.241905,15.199999
2020,Albania,Hong Kong,0,20.168331,41.153332,114.109497,22.396428
2020,Albania,Hungary,503,20.168331,41.153332,19.503304,47.162494
2020,Albania,Iceland,220,20.168331,41.153332,-19.020835,64.963051
2020,Albania,India,0,20.168331,41.153332,78.96288,20.593684
2020,Albania,Indonesia,0,20.168331,41.153332,113.921327,-0.789275
2020,Albania,Iran,0,20.168331,41.153332,53.688046,32.427908
2020,Albania,Iraq,0,20.168331,41.153332,43.679291,33.223191
2020,Albania,Ireland,340,20.168331,41.153332,-8.24389,53.41291
2020,Albania,Isle of Man,0,20.168331,41.153332,-4.548056,54.236107
2020,Albania,Israel,0,20.168331,41.153332,34.851612,31.046051
2020,Albania,Italy,486187,20.168331,41.153332,12.56738,41.87194
2020,Albania,Jamaica,0,20.168331,41.153332,-77.297508,18.109581
2020,Albania,Japan,0,20.168331,41.153332,138.252924,36.204824
2020,Albania,Jordan,0,20.168331,41.153332,36.238414,30.585164
2020,Albania,Kazakhstan,0,20.168331,41.153332,66.923684,48.019573
2020,Albania,Kenya,0,20.168331,41.153332,37.906193,-0.023559
2020,Albania,Kiribati,0,20.168331,41.153332,-168.734039,-3.370417
2020,Albania,Kuwait,0,20.168331,41.153332,47.481766,29.31166
2020,Albania,Kyrgyzstan,0,20.168331,41.153332,74.766098,41.20438
2020,Albania,Laos,0,20.168331,41.153332,102.495496,19.85627
2020,Albania,Latvia,12,20.168331,41.153332,24.603189,56.879635
2020,Albania,Lebanon,0,20.168331,41.153332,35.862285,33.854721
2020,Albania,Lesotho,0,20.168331,41.153332,28.233608,-29.609988
2020,Albania,Liberia,0,20.168331,41.153332,-9.429499,6.428055
2020,Albania,Libya,320,20.168331,41.153332,17.228331,26.3351
2020,Albania,Liechtenstein,2,20.168331,41.153332,9.555373,47.166
2020,Albania,Lithuania,28,20.168331,41.153332,23.881275,55.169438
2020,Albania,Luxembourg,1058,20.168331,41.153332,6.129583,49.815273
2020,Albania,Macao,0,20.168331,41.153332,#N/A,#N/A
2020,Albania,Madagascar,0,20.168331,41.153332,46.869107,-18.766947
2020,Albania,Malawi,0,20.168331,41.153332,34.301525,-13.254308
2020,Albania,Malaysia,0,20.168331,41.153332,101.975766,4.210484
2020,Albania,Maldives,0,20.168331,41.153332,73.22068,3.202778
2020,Albania,Mali,1482,20.168331,41.153332,-3.996166,17.570692
2020,Albania,Malta,229,20.168331,41.153332,14.375416,35.937496
2020,Albania,Marshall Islands,0,20.168331,41.153332,171.184478,7.131474
2020,Albania,Martinique,0,20.168331,41.153332,-61.024174,14.641528
